epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,182.902,1.1686,0.98036,0.98609,0.95629,0.72941,0.85945,0.41733,1.61779,1.14815,1.26212,0.0015941,0.0015941,0.0015941
43,187.1,1.21214,1.00288,0.97753,0.91826,0.74925,0.83706,0.31936,1.94393,1.32829,1.4405,0.0015842,0.0015842,0.0015842
44,191.191,1.26909,1.04968,1.01816,1,0.66635,0.83596,0.45129,1.60694,1.12819,1.26893,0.0015743,0.0015743,0.0015743
45,195.321,1.23707,1.03279,1.02005,0.85015,0.75674,0.83841,0.45727,1.53357,1.26872,1.20934,0.0015644,0.0015644,0.0015644
46,199.498,1.14829,1.05908,0.98568,0.82196,0.66667,0.78941,0.38083,1.70298,1.21551,1.3339,0.0015545,0.0015545,0.0015545
47,203.746,1.17239,1.0019,0.9943,0.81811,0.8,0.85037,0.48716,1.50811,1.12559,1.25335,0.0015446,0.0015446,0.0015446
48,207.889,1.16803,0.99651,0.99548,0.8017,0.80876,0.86218,0.52897,1.41061,1.22497,1.20374,0.0015347,0.0015347,0.0015347
49,212.08,1.14575,0.96109,0.96223,0.78282,0.84124,0.85138,0.41029,1.70084,1.14129,1.30998,0.0015248,0.0015248,0.0015248
50,216.142,1.15195,0.99652,0.98358,0.75845,0.8,0.80772,0.43132,1.54927,1.22748,1.21981,0.0015149,0.0015149,0.0015149
51,220.408,1.1181,0.92542,0.97239,0.68112,0.73333,0.69622,0.4054,1.36584,1.304,1.16886,0.001505,0.001505,0.001505
52,224.707,1.19529,0.94683,0.96623,0.7113,0.73929,0.71911,0.43459,1.3757,1.2484,1.14563,0.0014951,0.0014951,0.0014951
53,228.833,1.2309,1.04614,1.02941,0.69812,0.92517,0.83331,0.50895,1.3721,1.08076,1.18563,0.0014852,0.0014852,0.0014852
54,233.004,1.11989,0.94603,0.99392,0.74036,0.86667,0.8464,0.44418,1.62676,1.38582,1.2997,0.0014753,0.0014753,0.0014753
55,237.186,1.1372,0.95714,0.95961,0.84343,0.71858,0.82144,0.47167,1.47267,1.14754,1.20984,0.0014654,0.0014654,0.0014654
56,241.377,1.13925,0.93357,1.00698,0.86275,0.86667,0.85562,0.45618,1.58571,1.11302,1.26458,0.0014555,0.0014555,0.0014555
57,245.775,1.10131,0.88914,0.96656,0.83554,0.84699,0.88239,0.4855,1.54523,1.16119,1.2648,0.0014456,0.0014456,0.0014456
58,249.957,1.08395,0.86889,0.94853,0.89552,0.8,0.87105,0.53933,1.40546,1.17497,1.19938,0.0014357,0.0014357,0.0014357
59,254.331,1.13918,0.89901,0.97717,0.66472,0.86667,0.81501,0.48612,1.43328,1.32719,1.19295,0.0014258,0.0014258,0.0014258
60,258.507,1.15624,0.90018,0.97629,0.77743,0.8,0.85315,0.52455,1.4147,1.09828,1.17401,0.0014159,0.0014159,0.0014159
