epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
183,824.21,0.73006,0.47608,0.834,0.86416,0.8485,0.89044,0.50481,1.49207,0.91432,1.17525,0.0001982,0.0001982,0.0001982
184,828.997,0.72119,0.4705,0.85569,0.861,0.86667,0.89107,0.51803,1.45277,0.90202,1.15355,0.0001883,0.0001883,0.0001883
185,833.953,0.68173,0.45508,0.85644,0.89159,0.8227,0.88782,0.50734,1.50349,0.93809,1.17639,0.0001784,0.0001784,0.0001784
186,838.57,0.71849,0.48859,0.85234,0.86169,0.83333,0.88692,0.49834,1.54743,0.96916,1.20665,0.0001685,0.0001685,0.0001685
187,843.251,0.70227,0.46344,0.84767,0.86515,0.85568,0.88627,0.50316,1.51706,0.9508,1.19359,0.0001586,0.0001586,0.0001586
188,847.574,0.70113,0.46048,0.83876,0.84021,0.9,0.89002,0.52732,1.45135,0.93044,1.15623,0.0001487,0.0001487,0.0001487
189,851.773,0.73077,0.47458,0.86699,0.84179,0.88706,0.88749,0.52551,1.44341,0.93097,1.15052,0.0001388,0.0001388,0.0001388
190,856.108,0.6908,0.49081,0.85837,0.83368,0.9,0.8888,0.52811,1.46505,0.93825,1.16066,0.0001289,0.0001289,0.0001289
191,863.606,0.67022,0.46764,0.85034,0.85042,0.9,0.8949,0.5175,1.4866,0.93359,1.1795,0.000119,0.000119,0.000119
192,867.818,0.67225,0.43584,0.8496,0.84269,0.93333,0.89766,0.51051,1.50111,0.94104,1.19262,0.0001091,0.0001091,0.0001091
193,871.981,0.70907,0.45606,0.8589,0.86154,0.9,0.89692,0.51425,1.49365,0.94132,1.19654,9.92e-05,9.92e-05,9.92e-05
194,876.349,0.66708,0.4523,0.87741,0.89339,0.9,0.89939,0.52581,1.45602,0.89139,1.17742,8.93e-05,8.93e-05,8.93e-05
195,880.461,0.68942,0.46299,0.86335,0.89764,0.9,0.90228,0.53895,1.42894,0.87639,1.15692,7.94e-05,7.94e-05,7.94e-05
196,884.687,0.69499,0.44078,0.86508,0.89779,0.9,0.90123,0.53883,1.43707,0.86306,1.15122,6.95e-05,6.95e-05,6.95e-05
197,889.158,0.64761,0.41699,0.84032,0.89553,0.9,0.90345,0.53677,1.46329,0.86426,1.15781,5.96e-05,5.96e-05,5.96e-05
198,893.473,0.60834,0.42148,0.85001,0.90224,0.92318,0.90725,0.54332,1.47737,0.87433,1.16282,4.97e-05,4.97e-05,4.97e-05
199,897.883,0.64498,0.42377,0.8665,0.90259,0.92672,0.90859,0.53513,1.47536,0.85951,1.16073,3.98e-05,3.98e-05,3.98e-05
200,901.993,0.70682,0.44053,0.84817,0.90284,0.92931,0.91085,0.53668,1.4736,0.86391,1.15966,2.99e-05,2.99e-05,2.99e-05
